Current fleet, New Fleet
18,24
15,27
18,27
16,25
17,31
15,35
14,24
14,19
14,28
15,23
15,27
14,20
15,22
14,18
22,20
18,31
21,32
21,31
10,32
10,24
11,26
9,29
28,24
25,24
19,33
16,33
17,32
19,28
18,19
14,32
14,34
14,26
14,30
12,22
13,22
13,33
18,39
22,36
19,28
18,27
23,21
26,24
25,30
20,34
21,32
13,38
14,37
15,30
14,31
17,37
11,32
13,47
12,41
13,45
15,34
13,33
13,24
14,32
22,39
28,35
13,32
14,37
13,38
14,34
15,34
12,32
13,33
13,32
14,25
13,24
12,37
13,31
18,36
16,36
18,34
18,38
23,32
11,38
12,32

